Product Name,Product Url,Original Price,Discount Price,Discount Percentage,Stars,Ratings,Reviews
Lakme 9 To 5 Wet & Dry Compact,https://nykaa.com/lakme-9-to-5-wet-dry-compact/p/8032457?productId=8032457&pps=1,MRP:₹650,₹423,35% Off,4.2/5,218 ratings  ,9 reviews
Nykaa Cosmetics So Creme! Creamy Matte Lipstick,https://nykaa.com/nykaa-so-creme-creamy-matte-lipstick/p/683166?productId=683166&pps=2,MRP:₹329,₹247,25% Off,4.3/5,87432 ratings  ,9431 reviews
Faces Canada Comfy Matte Lip Color,https://nykaa.com/faces-canada-comfy-matte-lip-color-on-my-way-01/p/3814093?productId=3814093&pps=3,MRP:₹399,₹279,30% Off,4.3/5,10696 ratings  ,1220 reviews
Kay Beauty Matte Blush,https://nykaa.com/kay-beauty-matte-blush/p/1080669?productId=1080669&pps=4,MRP:₹899,₹629,30% Off,4.5/5,6313 ratings  ,1196 reviews
Elle 18 Kajal Love Combo,https://nykaa.com/elle-18-party-starter-kit/p/747571?productId=747571&pps=5,MRP:₹198,₹168,15% Off,4.4/5,26997 ratings  ,19 reviews
Swiss Beauty Hold Me Matte Liquid Lipstick,https://nykaa.com/swiss-beauty-hold-me-matte-liquid-lipstick/p/11830020?productId=11830020&pps=6,MRP:₹429,₹343,20% Off,NA,NA,NA
Renee Cosmetics Hot Shot Face & Body Glowstick,https://nykaa.com/renee-cosmetics-hot-shot-face-body-glowstick/p/12104309?productId=12104309&pps=7,MRP:₹599,₹499,17% Off,3.0/5,2 ratings  ,1 reviews
Maybelline New York The Colossal Volum Express Mascara,https://nykaa.com/maybelline-the-colossal-volum-express-mascara/p/806?productId=806&pps=8,MRP:₹479,₹337,30% Off,4.4/5,38729 ratings  ,3541 reviews
Insight Non Transfer Lip Color,https://nykaa.com/insight-cosmetics-non-transfer-lip-color-lg-40/p/4286475?productId=4286475&pps=10,MRP:₹105,₹84,20% Off,4.3/5,86344 ratings  ,6909 reviews
Lakme 9 To 5 Primer + Matte Lipstick,https://nykaa.com/lakme-9-to-5-primer-matte-lipstick/p/1037767?productId=1037767&pps=11,MRP:₹550,₹275,50% Off,4.2/5,32189 ratings  ,1580 reviews
Lakme Forever Matte Liquid Lip Color,https://nykaa.com/lakme-forever-matte-liquid-lip-colour/p/623306?productId=623306&pps=12,MRP:₹349,₹272,22% Off,4.4/5,71434 ratings  ,7917 reviews
Maybelline New York Super Stay Matte Ink Liquid Lipstick,https://nykaa.com/maybelline-new-york-superstay-matte-ink-liquid-lipstick/p/229917?productId=229917&pps=13,MRP:₹699,₹384,45% Off,4.3/5,71307 ratings  ,12429 reviews
