,Order_ID,Product_Name,Product_Url,Original_Price,Discount_Price,Discount_Percentage,Ratings,Reviews,Overall_Rating_Out_Of_5
0,8032457,Lakme 9 To 5 Wet & Dry Compact,https://nykaa.com/lakme-9-to-5-wet-dry-compact/p/8032457?productId=8032457&pps=1,650,423,35,218,9,4.2
1,683166,Nykaa Cosmetics So Creme! Creamy Matte Lipstick,https://nykaa.com/nykaa-so-creme-creamy-matte-lipstick/p/683166?productId=683166&pps=2,329,247,25,87432,9431,4.3
2,3814093,Faces Canada Comfy Matte Lip Color,https://nykaa.com/faces-canada-comfy-matte-lip-color-on-my-way-01/p/3814093?productId=3814093&pps=3,399,279,30,10696,1220,4.3
3,1080669,Kay Beauty Matte Blush,https://nykaa.com/kay-beauty-matte-blush/p/1080669?productId=1080669&pps=4,899,629,30,6313,1196,4.5
4,747571,Elle 18 Kajal Love Combo,https://nykaa.com/elle-18-party-starter-kit/p/747571?productId=747571&pps=5,198,168,15,26997,19,4.4
5,11830020,Swiss Beauty Hold Me Matte Liquid Lipstick,https://nykaa.com/swiss-beauty-hold-me-matte-liquid-lipstick/p/11830020?productId=11830020&pps=6,429,343,20,0,0,0.0
6,12104309,Renee Cosmetics Hot Shot Face & Body Glowstick,https://nykaa.com/renee-cosmetics-hot-shot-face-body-glowstick/p/12104309?productId=12104309&pps=7,599,499,17,2,1,3.0
7,806,Maybelline New York The Colossal Volum Express Mascara,https://nykaa.com/maybelline-the-colossal-volum-express-mascara/p/806?productId=806&pps=8,479,337,30,38729,3541,4.4
8,4286475,Insight Non Transfer Lip Color,https://nykaa.com/insight-cosmetics-non-transfer-lip-color-lg-40/p/4286475?productId=4286475&pps=10,105,84,20,86344,6909,4.3
9,1037767,Lakme 9 To 5 Primer + Matte Lipstick,https://nykaa.com/lakme-9-to-5-primer-matte-lipstick/p/1037767?productId=1037767&pps=11,550,275,50,32189,1580,4.2
10,623306,Lakme Forever Matte Liquid Lip Color,https://nykaa.com/lakme-forever-matte-liquid-lip-colour/p/623306?productId=623306&pps=12,349,272,22,71434,7917,4.4
11,229917,Maybelline New York Super Stay Matte Ink Liquid Lipstick,https://nykaa.com/maybelline-new-york-superstay-matte-ink-liquid-lipstick/p/229917?productId=229917&pps=13,699,384,45,71307,12429,4.3
12,6449054,Maybelline New York Lash Sensational Sky High Waterproof Mas...,https://nykaa.com/maybelline-new-york-lash-sensational-sky-high-waterproof-mascara/p/6449054?productId=6449054&pps=14,799,639,20,7214,658,4.5
13,303851,Nykaa Cosmetics Matte To Last ! Liquid Lipstick,https://nykaa.com/nykaa-matte-to-last-liquid-lipstick/p/303851?productId=303851&pps=15,675,439,35,45161,9453,4.4
14,2790711,"Nykaa Cosmetics All Day Matte Waterproof, Transfer Proof, 12...",https://nykaa.com/nykaa-cosmetics-all-day-matte-waterproof-transfer-proof-mask-proof-12h-liquid-lipstick/p/2790711?productId=2790711&pps=16,399,271,32,24018,2308,4.3
15,31074,Maybelline New York Fit Me Matte+Poreless Liquid Foundation ...,https://nykaa.com/maybelline-new-york-fit-me-matte-poreless-foundation/p/31074?productId=31074&pps=17,649,454,30,77741,11317,4.4
16,353926,Maybelline New York Color Sensational Creamy Matte Lipstick,https://nykaa.com/maybelline-new-york-color-sensational-creamy-matte-lipsticks/p/353926?productId=353926&pps=18,329,214,35,105657,16132,4.3
17,7995159,Lakme 9 To 5 Eyeconic Liquid Liner,https://nykaa.com/lakme-9-to-5-eyeconic-liquid-liner/p/7995159?productId=7995159&pps=19,260,130,50,8025,390,4.4
18,1131613,Maybelline New York Fit Me 12Hr Oil Control Compact,https://nykaa.com/maybelline-new-york-fit-me-12hr-oil-control-compact/p/1131613?productId=1131613&pps=20,259,220,15,61575,3469,4.4
19,7066987,Maybelline New York Superstay Vinyl Ink Liquid Lipstick,https://nykaa.com/maybelline-new-york-superstay-vinyl-ink-liquid-lipstick/p/7066987?productId=7066987&pps=21,849,638,25,6582,981,4.4
20,37835,Lakme Complexion Care Face CC Cream,https://nykaa.com/lakme-complexion-care-face-cream-37836/p/37835?productId=37835&pps=1,360,226,37,41878,4802,4.4
21,89231,M.A.C Studio Fix Powder Plus Foundation,https://nykaa.com/m-a-c-studio-fix-powder-plus-foundation/p/89231?productId=89231&pps=2,3300,3300,0,10940,1466,4.4
22,5692185,Nykaa Cosmetics Eyes On Me! 4 In 1 Quad Eyeshadow Palette,https://nykaa.com/nykaa-cosmetics-eyes-on-me-4-in-1-quad-eyeshadow-palette/p/5692185?productId=5692185&pps=3,375,255,32,9709,550,4.4
23,73137,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,https://nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=4,725,363,50,38918,7767,4.2
24,648684,Maybelline New York Sensational Liquid Matte Lipstick,https://nykaa.com/maybelline-new-york-sensational-liquid-matte-lipstick/p/648684?productId=648684&pps=5,399,239,40,60797,7000,4.3
25,28012,Nykaa Cosmetics Nail Enamel,https://nykaa.com/nykaa-nail-enamel/p/28012?productId=28012&pps=6,189,132,30,72257,11735,4.4
26,8500784,Lakme Lumi Skin Cream,https://nykaa.com/lakme-lumi-skin-cream/p/8500784?productId=8500784&pps=7,299,170,43,25110,1795,4.4
27,809,Maybelline New York Volum Express Hyper Curl Mascara,https://nykaa.com/maybelline-volum-express-hyper-curl-mascara/p/809?productId=809&pps=8,429,236,45,72663,11031,4.4
28,7107244,Dot & Key Gloss Boss Tinted Lip Balm SPF 30 Vitamin C + E,https://nykaa.com/dot-key-gloss-boss-tinted-lip-balm-spf-30-vitamin-c-e/p/7107244?productId=7107244&pps=9,249,199,20,11978,1825,4.2
29,189967,Maybelline New York Instant Age Rewind Eraser Dark Circles T...,https://nykaa.com/maybelline-new-york-instant-age-rewind-concealer/p/189967?productId=189967&pps=10,729,549,25,41804,6308,4.3
30,7722420,Insight Cosmetics Blusher,https://nykaa.com/insight-cosmetics-blusher/p/7722420?productId=7722420&pps=11,80,64,20,15311,1169,4.4
31,1202007,Swiss Beauty Bold Matte Lip Liner Pencil Set with Smudge Fre...,https://nykaa.com/swiss-beauty-bold-matt-lip-liner/p/1202007?productId=1202007&pps=12,69,59,15,30383,2307,4.4
32,18430,Lakme Eyeconic Kajal,https://nykaa.com/lakme-eyeconic-kajal-0-35gm/p/18430?productId=18430&pps=13,300,210,30,29212,4351,4.5
33,183962,Lakme 9 to 5 Primer + Matte Powder Foundation Compact,https://nykaa.com/lakme-9-to-5-primer-matte-powder-foundation-compact/p/183962?productId=183962&pps=14,600,300,50,24016,1949,4.3
34,408011,Maybelline New York Fit Me Matte+Poreless Liquid Foundation ...,https://nykaa.com/maybelline-new-york-fit-me-matte-poreless-liquid-foundation-tube/p/408011?productId=408011&pps=15,325,257,21,71942,7142,4.3
35,331327,M.A.C Lipstick / Mini,https://nykaa.com/lipstick-little-m-a-c/p/331327?productId=331327&pps=16,1250,1250,0,21900,4844,4.4
36,71406,Nykaa Cosmetics So Matte Lipstick,https://nykaa.com/nykaa-so-matte-lipstick/p/71406?productId=71406&pps=17,450,293,35,25892,5482,4.3
37,492633,Maybelline New York Colossal Bold Eyeliner - Black,https://nykaa.com/maybelline-new-york-colossal-bold-eyeliner-black/p/492633?productId=492633&pps=18,270,216,20,31401,2725,4.4
38,367161,Swiss Beauty Long Lasting Professional Misty Finish Makeup F...,https://nykaa.com/swiss-beauty-long-lasting-makeup-fixer-natural-1/p/367161?productId=367161&pps=19,249,187,25,56206,4318,4.4
39,31069,Maybelline New York Fit Me Concealer,https://nykaa.com/maybelline-new-york-fit-me-concealer/p/31069?productId=31069&pps=20,599,420,30,54501,7042,4.4
40,2732715,Elle 18 Color Pop Matte Lip Color,https://nykaa.com/elle-18-color-pop-matte-lip-color/p/2732715?productId=2732715&pps=1,100,85,15,31553,1372,4.3
41,1287,Lakme Absolute Skin Natural Mousse Mattreal Foundation,https://nykaa.com/lakme-absolute-mattreal-skin-natural-mousse-16hr/p/1287?productId=1287&pps=2,875,525,40,31210,4020,4.4
42,12153,Maybelline New York The Colossal Kajal 24Hour Smudge Proof,https://nykaa.com/maybelline-the-colossal-kajal-12-hour-smudge-free/p/12153?productId=12153&pps=3,199,169,15,25075,1877,4.5
43,520378,Nykaa Cosmetics Matte To Last! Mini Liquid Lipstick,https://nykaa.com/nykaa-matte-to-last-mini-liquid-lipstick/p/520378?productId=520378&pps=4,325,325,0,91374,15383,3.9
44,10886452,Lakme Absolute Blur Perfect Makeup Primer,https://nykaa.com/lakme-absolute-blur-perfect-makeup-primer/p/10886452?productId=10886452&pps=5,825,454,45,38717,3644,4.4
45,220214,Garnier Micellar Cleansing Water For Sensitive Skin,https://nykaa.com/garnier-skin-naturals-micellar-cleansing-water/p/220214?productId=220214&pps=6,225,146,35,57247,7207,4.5
46,419682,Swiss Beauty Liquid Concealer,https://nykaa.com/swiss-beauty-liquid-concealer/p/419682?productId=419682&pps=7,249,199,20,49729,4467,4.3
47,3982605,Lakme Eyeconic Kajal - Twin Pack,https://nykaa.com/lakme-eyeconic-kajal-twin-pack/p/3982605?productId=3982605&pps=8,380,285,25,15362,446,4.5
48,5694087,Pixi On The Glow Cream Blush,https://nykaa.com/pixi-on-the-glow-blush/p/5694087?productId=5694087&pps=9,1950,1950,0,1295,271,4.3
49,40862,L.A Girl HD Pro Conceal,https://nykaa.com/l-a-girl-pro-conceal-hd/p/40862?productId=40862&pps=10,695,452,35,31413,5033,4.4
50,370965,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,https://nykaa.com/faces-ultime-pro-hd-intense-matte-lips-primer/p/370965?productId=370965&pps=11,799,599,25,27152,4771,4.5
51,856789,e.l.f. Cosmetics Lip Lacquer,https://nykaa.com/e-l-f-cosmetics-lip-lacquer/p/856789?productId=856789&pps=12,320,256,20,11721,2287,4.4
52,453968,Lakme Insta Eye Liner,https://nykaa.com/lakme-insta-eye-liner/p/453968?productId=453968&pps=13,150,135,10,60812,7066,4.3
53,4317050,Maybelline New York Color Sensational Ultimattes Lipstick,https://nykaa.com/maybelline-new-york-color-sensational-ultimattes-lipstick/p/4317050?productId=4317050&pps=14,599,329,45,11969,965,4.4
54,1264719,Insight Cosmetics Long Wear Color Rich Lip Gloss,https://nykaa.com/insight-cosmetics-long-wear-color-rich-lip-gloss/p/1264719?productId=1264719&pps=15,85,68,20,23887,2210,4.3
55,3823158,Nykaa Cosmetics Insta Dry Fast Drying Nail Enamel Polish,https://nykaa.com/nykaa-insta-dry-fast-drying-nail-enamel-polish/p/3823158?productId=3823158&pps=16,229,149,35,15221,1422,4.4
56,5093150,Kay Beauty Creme Blush,https://nykaa.com/kay-beauty-creme-blush-sweetheart-pink/p/5093150?productId=5093150&pps=17,799,639,20,6841,918,4.4
57,713143,Nykaa Cosmetics Eyes On Me! 10-in-1 Eyeshadow Palette,https://nykaa.com/nykaa-eyes-on-me-10-in-1-eyeshadow-palette/p/713143?productId=713143&pps=18,599,449,25,26778,3264,4.4
58,5914155,Nykaa Cosmetics Instalike Nail Enamel,https://nykaa.com/nykaa-cosmetics-instalike-nail-enamel/p/5914155?productId=5914155&pps=19,119,119,0,5304,460,4.5
59,574201,Lakme 9 To 5 Primer + Matte Perfect Cover Foundation,https://nykaa.com/lakme-9-to-5-primer-matte-perfect-cover-foundation/p/574201?productId=574201&pps=20,525,341,35,27407,2612,4.4
60,6482266,Maybelline New York Lifter Gloss,https://nykaa.com/maybelline-new-york-lifter-gloss/p/6482266?productId=6482266&pps=1,599,539,10,4281,790,4.5
61,4657320,Mamaearth Moisture Matte Longstay Lipstick With Avocado Oil ...,https://nykaa.com/mamaearth-moisture-matte-longstay-lipstick-with-avocado-oil-vitamin-e/p/4657320?productId=4657320&pps=2,499,424,15,11675,860,4.3
62,1223433,Nykaa Black Magic Kajal - Black,https://nykaa.com/nykaa-black-magic-kajal-black/p/1223433?productId=1223433&pps=3,170,136,20,17320,1433,4.4
63,1498459,Ponds BB+ Cream Instant Spot Coverage + Light Make-up Glow I...,https://nykaa.com/ponds-bb-cream-instant-spot-coverage-light-make-up-glow-ivory/p/1498459?productId=1498459&pps=4,275,151,45,19789,1004,4.4
64,888634,Lakme Cushion Matte Lipstick,https://nykaa.com/lakme-cushion-matte-lipstick/p/888634?productId=888634&pps=5,325,260,20,20206,1266,4.3
65,61421,Nykaa Cosmetics Matte Nail Enamel,https://nykaa.com/nykaa-matte-nail-enamel/p/61421?productId=61421&pps=6,229,149,35,58727,11483,4.4
66,4408362,Huda Beauty New Liquid Matte Ultra-Comfort Transfer-Proof Li...,https://nykaa.com/huda-beauty-liquid-matte-liquid-lipstick/p/4408362?productId=4408362&pps=7,2100,2100,0,1561,226,4.2
67,6984484,Huda Beauty Empowered Eyeshadow Palette,https://nykaa.com/huda-beauty-empowered-eyeshadow-palette/p/6984484?productId=6984484&pps=8,5900,5900,0,503,91,4.5
68,5649139,Swiss Beauty Non Transfer Matte Crayon Lipstick,https://nykaa.com/swiss-beauty-non-transfer-matte-crayon-lipstick/p/5649139?productId=5649139&pps=9,249,199,20,9409,738,4.3
69,273051,M.A.C Prep + Prime Fix+,https://nykaa.com/m-a-c-prep-prime-fix/p/273051?productId=273051&pps=10,2150,2150,0,12150,2085,4.5
70,569857,Faces Canada Weightless Stay Matte Compact SPF-20 Vitamin E ...,https://nykaa.com/faces-canada-weightless-stay-matte-compact-spf-20-vitamin-e-shea-butter/p/569857?productId=569857&pps=11,225,180,20,35039,3333,4.4
71,365387,Nykaa Cosmetics Lips Don't Lie! Line & Fill Lip Liner,https://nykaa.com/nykaa-lips-don-t-lie-line-fill-lip-liner/p/365387?productId=365387&pps=12,399,299,25,14403,2419,4.4
72,375090,Maybelline New York Super Stay Full Coverage Foundation,https://nykaa.com/maybelline-new-york-super-stay-full-coverage-foundation/p/375090?productId=375090&pps=13,849,595,30,32442,4660,4.4
73,2649152,M.A.C Studio Fix Fluid SPF 15 Mini,https://nykaa.com/m-a-c-studio-fix-fluid-spf-15-mini/p/2649152?productId=2649152&pps=14,1900,1900,0,8696,714,4.4
74,6059177,Love Earth Liquid Mousse Miniature Liquid Matte Lipstick - P...,https://nykaa.com/love-earth-liquid-mousse-miniature-liquid-matte-lipstick-pack-of-9/p/6059177?productId=6059177&pps=15,1999,999,50,3068,403,4.3
75,1332859,Nykaa Cosmetics All Day Matte 12HR Oil Control Face Compact ...,https://nykaa.com/nykaa-all-day-matte-compact/p/1332859?productId=1332859&pps=16,259,207,20,23322,1835,4.4
76,367160,Swiss Beauty Pure Matte Lipstick,https://nykaa.com/swiss-beauty-pure-matte-lipstick/p/367160?productId=367160&pps=17,229,160,30,9745,966,4.3
77,88999,M.A.C Studio Fix Fluid SPF 15,https://nykaa.com/m-a-c-studio-fix-fluid-spf-15/p/88999?productId=88999&pps=18,3300,3300,0,9627,1525,4.5
78,4869841,Renee Cosmetics Madness PH Stick - Black Magic,https://nykaa.com/renee-cosmetics-black-magic-madness-ph-stick/p/4869841?productId=4869841&pps=19,499,399,20,7619,707,4.2
79,8423343,Swiss Beauty Ultimate 9 Pigmented Colors Eyeshadow Palette,https://nykaa.com/swiss-beauty-ultimate-shadow-palette/p/8423343?productId=8423343&pps=20,269,226,16,21665,1391,4.5
80,401077,Daily Life Forever52 Ultra Definition Liquid Foundation,https://nykaa.com/daily-life-forever52-ultra-definition-liquid-foundation/p/401077?productId=401077&pps=1,949,835,12,12492,802,4.4
81,403564,Embryolisse Lait-Creme Concentre,https://nykaa.com/embryolisse-lait-creme-concentre/p/403564?productId=403564&pps=2,2350,1763,25,5354,554,4.5
82,728630,Insight Cosmetics Pro Concealer Palette - Corrector,https://nykaa.com/insight-cosmetics-pro-concealer-palette-corrector/p/728630?productId=728630&pps=3,210,168,20,21303,1691,4.4
83,3626171,Elle 18 Liquid Lip Color,https://nykaa.com/elle-18-liquid-lip-color/p/3626171?productId=3626171&pps=4,135,115,15,31067,1942,4.3
84,374239,Nykaa Cosmetics So Matte! Mini Lipstick,https://nykaa.com/nykaa-so-matte-mini-lipstick/p/374239?productId=374239&pps=5,279,279,0,98125,14809,4.1
85,4778562,Earth Rhythm Lip & Cheek Tint,https://nykaa.com/earth-rhythm-lip-cheek-tint/p/4778562?productId=4778562&pps=6,499,349,30,9207,914,4.2
86,1229442,Kay Beauty Hydrating Foundation,https://nykaa.com/kay-beauty-hydrating-foundation/p/1229442?productId=1229442&pps=7,1200,960,20,7827,1294,4.4
87,6598287,M.A.C Fix+ Original,https://nykaa.com/m-a-c-fix-original/p/6598287?productId=6598287&pps=8,750,750,0,5539,318,4.4
88,8239382,Nykaa Cosmetics Prep Me Up! Face Primer,https://nykaa.com/nykaa-cosmetics-prep-me-up-face-primer/p/8239382?productId=8239382&pps=9,549,428,22,18781,658,4.4
89,1231613,Swiss Beauty HD Matte Lipstick,https://nykaa.com/swiss-beauty-hd-matte-lipstick-lipstick/p/1231613?productId=1231613&pps=10,349,227,35,12744,1401,4.4
90,985226,Charlotte Tilbury Airbrush Flawless Foundation,https://nykaa.com/charlotte-tilbury-airbrush-flawless-foundation/p/985226?productId=985226&pps=11,4000,4000,0,1018,188,4.4
91,415916,Insight Cosmetics Matte Lipstick,https://nykaa.com/insight-cosmetics-matte-lipstick/p/415916?productId=415916&pps=12,90,72,20,21326,2198,4.0
92,116489,Nykaa Cosmetics Matte-ilicious Lip Crayon Lipstick,https://nykaa.com/nykaa-matte-ilicious-lip-crayon-lipstick/p/116489?productId=116489&pps=13,799,599,25,11331,3134,4.4
93,31362,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,https://nykaa.com/sugar-matte-as-hell-crayon-lipstick/p/31362?productId=31362&pps=14,849,739,13,12559,2151,4.4
